日期,公告內容
2026-01-05,一、日期： 中華民國115年1月4日（星期日）0600時至115年1月5日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（逾越中線及其延伸線進入西南部空域3架次）、共艦8艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、中共空飄氣球活動： 中共空飄氣球計偵獲2顆。
2026-01-04,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國115年1月3日（星期六）0600時至115年1月4日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共艦5艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間未偵獲共機，故無提供航跡圖。 四、中共空飄氣球活動： 中共空飄氣球計偵獲1顆。
2026-01-03,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國115年1月2日（星期五）0600時至115年1月3日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次（逾越中線進入中部空域1架）、共艦6艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、中共空飄氣球活動： 中共空飄氣球計偵獲1顆。
2026-01-02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國115年1月1日（星期四）0600時至115年1月2日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共艦6艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間未偵獲共機，故無提供航跡圖。 四、中共空飄氣球活動： 中共空飄氣球計偵獲2顆。
2026-01-01,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月31日（星期三）0600時至115年1月1日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（進入西南部空域1架次）、共艦17艘及公務船8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、中共空飄氣球活動： 中共空飄氣球計偵獲2顆。
2025-12-31,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月30日（星期二）0600時至12月31日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機77架次（逾越中線進入北部、中部及西南空域35架次）、共艦17艘及公務船8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月29日（星期一）0600時至12月30日（星期二）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機130架次（逾越中線進入北部、中部、西南及東部空域90架次）、共艦14艘及公務船8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月28日（星期日）0600時至12月29日（星期一）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機2架次、共艦9艘及公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月27日（星期六）0600時至12月28日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（逾越中線及其延伸線進入西南空域3架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-27,一、日期： 中華民國114年12月26日（星期五）0600時至12月27日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（逾越中線進入北部及西南空域12架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月25日（星期四）0600時至12月26日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、中共空飄氣球活動： 中共空飄氣球計偵獲2顆。
2025-12-25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月24日（星期三）0600時至12月25日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（逾越中線進入西南空域2架）、共艦8艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月23日（星期二）0600時至12月24日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（逾越中線進入西南空域1架）、共艦8艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-22,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月21日（星期日）0600時至12月22日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-22,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月21日（星期日）0600時至12月22日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-21,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月20日（星期六）0600時至12月21日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次（逾越中線進入北部及西南空域5架次）、共艦7艘及公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月18日（星期四）0600時至12月19日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次及共艦11艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月18日（星期四）0600時至12月19日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次及共艦11艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月17日（星期三）0600時至12月18日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機40架次（逾越中線進入北部、中部、西南及東部空域26架次）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-17,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月16日（星期二）0600時至12月17日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（逾越中線進入北部及西南空域5架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-16,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月15日（星期一）0600時至12月16日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（逾越中線進入北部及西南空域9架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
2025-12-15,一、日期： 中華民國114年12月14日（星期日）0600時至12月15日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（進入西南部空域1架次）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
