日期,通報內容
114/11/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月29日（星期六）0600時至11月30日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（逾越中線進入北部、西南及東南空域25架次）及共艦11艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月28日（星期五）0600時至11月29日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次（逾越中線進入北部、中部及西南空域23架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月27日（星期四）0600時至11月28日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/27,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月26日（星期三）0600時至11月27日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機17架次（逾越中線進入北部及西南空域10架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月25日（星期二）0600時至11月26日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次（逾越中線進入西南空域14架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月24日（星期一）0600時至11月25日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（逾越中線進入西南及東部空域3架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月23日（星期日）0600時至11月24日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越中線進入西南及東部空域6架次）及共艦5艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/23,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月22日（星期六）0600時至11月23日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越中線進入北部及西南空域6架次）及共艦6艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/22,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月21日（星期五）0600時至11月22日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次（逾越中線進入北部及西南空域12架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/21,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月20日（星期四）0600時至11月21日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機29架次（逾越中線進入北部、中部及西南空域17架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/20,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月19日（星期三）0600時至11月20日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次（逾越中線進入北部及西南空域13架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/19,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月18日（星期二）0600時至11月19日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（逾越中線進入北部及西南空域7架次）及共艦4艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月17日（星期一）0600時至11月18日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次（逾越中線進入西南空域7架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/17,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月16日（星期日）0600時至11月17日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越中線進入西南及東南空域2架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/16,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月15日（星期六）0600時至11月16日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機30架次（逾越中線進入北部、中部、西南及東部空域17架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/15,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月14日（星期五）0600時至11月15日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次（逾越中線進入北部及西南空域17架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/14,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月13日（星期四）0600時至11月14日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機21架次（逾越中線進入北部及西南空域18架次）及共艦3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/13,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月12日（星期三）0600時至11月13日（星期四）0600時止。 二、活動動態： 迄0600時止，未偵獲共機、艦於臺海周邊活動。 三、上述期間未偵獲共機，故無提供航跡圖。
114/11/12,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月11日（星期二）0600時至11月12日（星期三）0600時止。 二、活動動態： 迄0600時止，未偵獲共機、艦於臺海周邊活動。 三、上述期間未偵獲共機，故無提供航跡圖。
114/11/11,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月10日（星期一）0600時至11月11日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越中線進入北部空域1架次）及共艦3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/10,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月9日（星期日）0600時至11月10日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（逾越中線進入中部空域2架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/09,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月8日（星期六）0600時至11月9日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（逾越中線進入北部及西南空域4架次）及共艦10艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/08,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月7日（星期五）0600時至11月8日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次（逾越中線進入北部、西南及東部空域10架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/07,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月6日（星期四）0600時至11月7日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機38架次（逾越中線進入北部、中部及西南空域31架次）及共艦9艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/06,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月5日（星期三）0600時至11月6日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次（逾越中線進入北部及西南空域12架次）及共艦10艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/05,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月4日（星期二）0600時至11月5日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/04,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月3日（星期一）0600時至11月4日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次（逾越中線進入西南空域2架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/03,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月2日（星期日）0600時至11月3日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（逾越中線進入北部空域1架）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月1日（星期六）0600時至11月2日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次（逾越中線進入北部及西南空域3架）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/11/01,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月31日（星期五）0600時至11月01日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（逾越中線進入東部及西南空域3架）及共艦8艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/31,中共解放軍臺海周邊海、空域動態 一、日期 ： 中華民國114年10月30日（星期四）0600時至10月31日（星期五）0600時止。 二、活動動態 ： 迄0600時止，偵獲共機5架次（逾越中線進入西南空域3架）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月29日（星期三）0600時至10月30日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次（逾越中線進入西南空域1架）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月28日（星期二）0600時至10月29日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機25架次（逾越中線進入北部及西南空域23架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月27日（星期一）0600時至10月28日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（逾越中線進入北部及西南空域8架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/27,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月26日（星期日）0600時至10月27日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次（逾越中線進入北部及西南空域2架次）及共艦7艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月25日（星期六）0600時至10月26日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越中線進入北部、中部及西南空域5架次）及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月24日（星期五）0600時至10月25日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（逾越中線進入北部及西南空域9架次）及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/24,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月23日（星期四）0600時至10月24日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（逾越中線進入北部及西南空域9架次）及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/23,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月22日（星期三）0600時至10月23日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次（逾越中線進入北部空域計1架）及共艦4艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/22,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月21日（星期二）0600時至10月22日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次（逾越中線進入北部空域計2架次）及共艦4艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
114/10/21,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年10月20日（星期一）0600時至10月21日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處
