114/12/04,一、日期 ： 中華民國114年12月3日（星期三）0600時至12月4日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（進入西南空域2架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/12/03,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月2日（星期二）0600時至12月3日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次（逾越中線進入北部空域4架次）及共艦6艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/12/02,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年12月1日（星期一）0600時至12月2日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（進入東部空域1架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/12/01,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月30日（星期日）0600時至12月1日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次（逾越中線進入西南及東部空域3架次）及共艦11艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月29日（星期六）0600時至11月30日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次（逾越中線進入北部、西南及東南空域25架次）及共艦11艘、公務船3艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月28日（星期五）0600時至11月29日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次（逾越中線進入北部、中部及西南空域23架次）及共艦8艘、公務船2艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月27日（星期四）0600時至11月28日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次及共艦7艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/27,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月26日（星期三）0600時至11月27日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機17架次（逾越中線進入北部及西南空域10架次）及共艦6艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/26,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月25日（星期二）0600時至11月26日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次（逾越中線進入西南空域14架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/25,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國114年11月24日（星期一）0600時至11月25日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（逾越中線進入西南及東部空域3架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
114/11/24,一、日期： 中華民國114年11月23日（星期日）0600時至11月24日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（逾越中線進入西南及東部空域6架次）及共艦5艘、公務船1艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
